Category: All categories

Time,influenza: (Worldwide)
2020-01-31T21:20:00-08:00,58
2020-01-31T21:28:00-08:00,53
2020-01-31T21:36:00-08:00,58
2020-01-31T21:44:00-08:00,55
2020-01-31T21:52:00-08:00,58
2020-01-31T22:00:00-08:00,56
2020-01-31T22:08:00-08:00,58
2020-01-31T22:16:00-08:00,50
2020-01-31T22:24:00-08:00,53
2020-01-31T22:32:00-08:00,55
2020-01-31T22:40:00-08:00,57
2020-01-31T22:48:00-08:00,51
2020-01-31T22:56:00-08:00,52
2020-01-31T23:04:00-08:00,59
2020-01-31T23:12:00-08:00,58
2020-01-31T23:20:00-08:00,54
2020-01-31T23:28:00-08:00,53
2020-01-31T23:36:00-08:00,61
2020-01-31T23:44:00-08:00,58
2020-01-31T23:52:00-08:00,58
2020-02-01T00:00:00-08:00,56
2020-02-01T00:08:00-08:00,55
2020-02-01T00:16:00-08:00,56
2020-02-01T00:24:00-08:00,57
2020-02-01T00:32:00-08:00,55
2020-02-01T00:40:00-08:00,54
2020-02-01T00:48:00-08:00,52
2020-02-01T00:56:00-08:00,50
2020-02-01T01:04:00-08:00,48
2020-02-01T01:12:00-08:00,53
2020-02-01T01:20:00-08:00,51
2020-02-01T01:28:00-08:00,50
2020-02-01T01:36:00-08:00,51
2020-02-01T01:44:00-08:00,47
2020-02-01T01:52:00-08:00,46
2020-02-01T02:00:00-08:00,49
2020-02-01T02:08:00-08:00,48
2020-02-01T02:16:00-08:00,47
2020-02-01T02:24:00-08:00,46
2020-02-01T02:32:00-08:00,52
2020-02-01T02:40:00-08:00,46
2020-02-01T02:48:00-08:00,50
2020-02-01T02:56:00-08:00,46
2020-02-01T03:04:00-08:00,49
2020-02-01T03:12:00-08:00,47
2020-02-01T03:20:00-08:00,47
2020-02-01T03:28:00-08:00,50
2020-02-01T03:36:00-08:00,51
2020-02-01T03:44:00-08:00,49
2020-02-01T03:52:00-08:00,46
2020-02-01T04:00:00-08:00,56
2020-02-01T04:08:00-08:00,56
2020-02-01T04:16:00-08:00,54
2020-02-01T04:24:00-08:00,54
2020-02-01T04:32:00-08:00,57
2020-02-01T04:40:00-08:00,61
2020-02-01T04:48:00-08:00,53
2020-02-01T04:56:00-08:00,53
2020-02-01T05:04:00-08:00,56
2020-02-01T05:12:00-08:00,54
2020-02-01T05:20:00-08:00,57
2020-02-01T05:28:00-08:00,53
2020-02-01T05:36:00-08:00,53
2020-02-01T05:44:00-08:00,58
2020-02-01T05:52:00-08:00,52
2020-02-01T06:00:00-08:00,53
2020-02-01T06:08:00-08:00,56
2020-02-01T06:16:00-08:00,53
2020-02-01T06:24:00-08:00,52
2020-02-01T06:32:00-08:00,55
2020-02-01T06:40:00-08:00,53
2020-02-01T06:48:00-08:00,55
2020-02-01T06:56:00-08:00,55
2020-02-01T07:04:00-08:00,55
2020-02-01T07:12:00-08:00,53
2020-02-01T07:20:00-08:00,52
2020-02-01T07:28:00-08:00,59
2020-02-01T07:36:00-08:00,55
2020-02-01T07:44:00-08:00,55
2020-02-01T07:52:00-08:00,55
2020-02-01T08:00:00-08:00,55
2020-02-01T08:08:00-08:00,57
2020-02-01T08:16:00-08:00,55
2020-02-01T08:24:00-08:00,57
2020-02-01T08:32:00-08:00,56
2020-02-01T08:40:00-08:00,57
2020-02-01T08:48:00-08:00,57
2020-02-01T08:56:00-08:00,58
2020-02-01T09:04:00-08:00,60
2020-02-01T09:12:00-08:00,55
2020-02-01T09:20:00-08:00,60
2020-02-01T09:28:00-08:00,60
2020-02-01T09:36:00-08:00,58
2020-02-01T09:44:00-08:00,64
2020-02-01T09:52:00-08:00,58
2020-02-01T10:00:00-08:00,62
2020-02-01T10:08:00-08:00,61
2020-02-01T10:16:00-08:00,61
2020-02-01T10:24:00-08:00,61
2020-02-01T10:32:00-08:00,59
2020-02-01T10:40:00-08:00,63
2020-02-01T10:48:00-08:00,64
2020-02-01T10:56:00-08:00,71
2020-02-01T11:04:00-08:00,75
2020-02-01T11:12:00-08:00,77
2020-02-01T11:20:00-08:00,65
2020-02-01T11:28:00-08:00,63
2020-02-01T11:36:00-08:00,63
2020-02-01T11:44:00-08:00,68
2020-02-01T11:52:00-08:00,60
2020-02-01T12:00:00-08:00,64
2020-02-01T12:08:00-08:00,63
2020-02-01T12:16:00-08:00,66
2020-02-01T12:24:00-08:00,64
2020-02-01T12:32:00-08:00,65
2020-02-01T12:40:00-08:00,67
2020-02-01T12:48:00-08:00,65
2020-02-01T12:56:00-08:00,69
